t,x,sigma
2138.6500347222245,1.2285069492543344e-07,6.963822747278806e-08
2145.6500347222245,7.735751913662832e-08,5.8884470591478194e-08
2152.6500347222245,2.2121981634009044e-07,6.145316787506434e-08
2159.6500347222245,6.84489870744428e-08,4.63697443785508e-08
2166.6500347222245,9.437573574153173e-07,1.1310578920886585e-07
2173.6500347222245,1.7006275233930655e-07,9.177904225972114e-08
2180.6500347222245,1.7179361163167853e-07,7.810961061989823e-08
2187.6500347222245,1.5637043797579912e-07,7.702700765471374e-08
2194.6500347222245,1.1919005840304371e-07,1.4757362295897695e-07
2201.6500347222245,1.8083152304969294e-07,7.011478507707955e-08
2208.6500347222245,2.556811380401756e-07,6.840344701530248e-08
2215.6500347222245,1.6073499344918363e-07,7.014396150431904e-08
2222.6500347222245,8.243672675154957e-08,5.2567132633340146e-08
2229.6500347222245,2.2649329485205672e-07,8.993911315020256e-08
2236.6500347222245,2.3091728178753567e-07,8.12665614380516e-08
2243.6500347222245,1.5810723648111922e-07,6.628327905454407e-08
2250.6500347222245,2.4200724489311815e-07,7.25814505100191e-08
2257.6500347222245,1.3605792513635765e-07,5.143427594508072e-08
2264.6500347222245,2.5961118848368816e-07,6.547476812733828e-08
2271.6500347222245,3.362783066122408e-07,8.174595123181431e-08
2278.6500347222245,4.128052860177217e-07,9.60183365737042e-08
2285.6500347222245,4.0024921139584597e-07,8.197834518294125e-08
2292.6500347222245,2.3253981883820802e-07,8.051432366925402e-08
2299.6500347222245,1.8716522554346128e-07,7.241739405709392e-08
2306.6500347222245,1.303974811758711e-07,6.543050073823256e-08
2313.6500347222245,3.4260442844662405e-08,3.6110440952533076e-08
2320.6500347222245,9.46703512931589e-09,1.3811360916477112e-08
2327.6500347222245,3.9855963402916647e-11,2.6369625099928707e-09
2334.6500347222245,1.968324786440201e-07,7.345324882286011e-08
2341.6500347222245,7.425790164125846e-08,4.107964201267191e-08
2348.6500347222245,2.3803852735732086e-07,8.892368555772013e-08
2355.6500347222245,1.4002206546306802e-07,7.155695690254972e-08
2362.6500347222245,2.1547958103041236e-08,2.7447826163861213e-08
2369.6500347222245,1.3815277884266556e-07,6.573434489548219e-08
2376.6500347222245,1.1747325854397138e-07,5.418506342455918e-08
2383.6500347222245,9.857713310322236e-08,4.7721975083894594e-08
2390.6500347222245,2.484518295541675e-07,6.196503655254999e-08
2397.6500347222245,1.530017931963886e-07,9.68183031675805e-08
2404.6500347222245,2.14858693416808e-07,8.455316386910733e-08
2411.6500347222245,1.181344231142518e-07,6.195304364920751e-08
2418.6500347222245,2.0621633284905246e-08,3.503019307787326e-08
2425.6500347222245,6.676885439887788e-09,4.673791119040461e-09
2432.6500347222245,1.012870186356196e-07,4.931204384307876e-08
2439.6500347222245,2.9528541955297905e-07,7.100632717532019e-08
2446.6500347222245,1.0263887998287907e-07,5.817737896383068e-08
2453.6500347222245,1.3465520024031018e-07,5.31339270622875e-08
2460.6500347222245,1.9912079003945382e-07,8.264549145423974e-08
2467.6500347222245,9.792162732474406e-08,5.286693849487007e-08
2474.6500347222245,1.8015868750047783e-07,5.354996000696493e-08
2481.6500347222245,1.456628941815042e-07,5.2111692816338615e-08
2488.6500347222245,3.04265720411105e-08,3.8158248835414365e-08
2495.6500347222245,2.843858078424492e-07,7.75691808565692e-08
2502.6500347222245,2.530259553470495e-07,6.623416580426063e-08
2509.6500347222245,2.276212795261312e-07,8.581059793929896e-08
2516.6500347222245,1.811671155522899e-07,7.965169622789725e-08
2523.6500347222245,9.3659617083453e-08,4.7755891961030336e-08
2530.6500347222245,1.646424396263578e-07,7.437341105034442e-08
2537.6500347222245,4.977007304871761e-08,5.1962204259281e-08
2544.6500347222245,1.479091322725501e-07,7.215848444092604e-08
2551.6500347222245,1.311465511216592e-07,7.325438637001763e-08
2558.6500347222245,1.9260586808907567e-07,7.672463961927587e-08
2565.6500347222245,9.448354968606617e-08,6.992377488754378e-08
2572.6500347222245,1.377398834499208e-07,6.764076922854135e-08
2579.6500347222245,3.848210594351045e-07,9.30088184266932e-08
2586.6500347222245,1.732782456316577e-07,4.4286434942547165e-08
2593.6500347222245,2.080944793367438e-07,6.26454375417723e-08
2600.6500347222245,2.4612409099968056e-07,5.8718093261167505e-08
2607.6500347222245,1.506790580715372e-08,4.172631167694232e-08
2614.6500347222245,1.2510291238026243e-11,6.737580958567888e-10
2621.6500347222245,1.9562407909768768e-08,3.343788683312466e-08
2628.6500347222245,1.2348030853445357e-07,4.931116082479736e-08
2635.6500347222245,2.0993215868554123e-08,3.4166996467891864e-08
2642.6500347222245,2.618884508242576e-08,3.792622273595582e-08
2649.6500347222245,1.8244889126870378e-07,9.846550984431996e-08
2656.6500347222245,9.413414339597989e-08,6.44358555361849e-08
2663.6500347222245,4.549823472325776e-08,2.758716303457552e-08
2670.6500347222245,1.972479734936552e-07,8.041527658459744e-08
2677.6500347222245,3.4681164476215776e-07,1.6111616724068719e-07
2684.6500347222245,1.736367093733203e-07,1.2856711687055403e-07
2691.6500347222245,1.4562349188994556e-07,9.257872502703673e-08
2698.6500347222245,1.2244885068032768e-07,1.0187897817181195e-07
2705.6500347222245,1.4497129889148243e-07,8.15598722643559e-08
2712.6500347222245,3.292758297386973e-07,1.579869052784332e-07
2719.6500347222245,6.143808407319936e-07,9.730823577444408e-08
2726.6500347222245,1.888344652337527e-07,1.0493013558836802e-07
2733.6500347222245,9.510576054540769e-08,1.0532844257280584e-07
2740.6500347222245,1.9235359460013024e-07,7.271932226896799e-08
2747.6500347222245,1.4996701748599107e-07,3.783424817899241e-08
2754.6500347222245,6.797251029057922e-09,5.291033883590513e-08
2761.6500347222245,2.7090388718691713e-07,1.0047082327670295e-07
2768.6500347222245,1.3764608398437502e-07,1.1212054413404687e-07
2775.6500347222245,1.464905242391538e-07,9.274177654341983e-08
2782.6500347222245,2.6244407460734885e-07,6.83196635559797e-08
2789.6500347222245,1.681716147360217e-07,5.6126555054136e-08
2796.6500347222245,5.1920891839160504e-08,3.9170744791833476e-08
2803.6500347222245,2.0051150496374987e-07,6.314913384162467e-08
2810.6500347222245,8.891226709937324e-08,7.248630201211124e-08
2817.6500347222245,1.6609081740757718e-08,4.168813654625719e-08
2824.6500347222245,3.8003627644946514e-08,2.3152728936468256e-08
2831.6500347222245,1.4758705088617294e-07,8.370461534574903e-08
2838.6500347222245,1.0297934427169978e-07,7.143654139762684e-08
2845.6500347222245,3.808206672931066e-08,4.2755716945411944e-08
2852.6500347222245,1.5607206436171458e-07,8.16780566665705e-08
2859.6500347222245,2.480330391925648e-07,8.911519650261884e-08
2866.6500347222245,2.888525510873274e-08,4.697884722525686e-08
2873.6500347222245,1.514592244769128e-07,7.120301099685377e-08
2880.6500347222245,2.633417136671319e-07,8.831274611692648e-08
2887.6500347222245,5.527336769694087e-07,1.1758961323553881e-07
2894.6500347222245,2.114420067337528e-07,6.974600320635621e-08
2901.6500347222245,6.659403810150413e-07,8.50275557103013e-08
2908.6500347222245,6.072976300361878e-07,1.0322303265128383e-07
2915.6500347222245,2.8584126596776024e-07,1.052407161622515e-07
2922.6500347222245,8.511390875284323e-08,5.391652333015693e-08
